Edad;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
10;261.821;262.803;261.768;261.215;263.743;270.537;281.609;296.548;300.614;305.237;297.486;289.443;285.148;280.108;274.901;269.518;264.698;260.932;255.658;252.788;249.061;243.377;239.410;235.867;236.228;241.685;250.354;258.716;262.067;261.503;257.475;254.066;255.544;259.821;254.417;241.099;233.825;233.635;236.354;238.318;238.483;237.645;236.343;234.695;232.750;230.560;228.175;225.646;223.011;222.042;219.885;217.712;215.575;213.531;211.630;209.907;208.379;207.064;205.970
11;257.813;261.758;262.749;261.723;261.182;263.723;270.526;281.606;296.546;300.620;305.248;297.516;289.508;285.231;280.241;275.064;269.725;264.894;261.129;255.967;253.152;249.192;243.567;239.644;236.243;237.121;243.159;252.204;260.508;262.813;261.710;257.567;254.132;255.602;259.877;254.474;241.158;233.885;233.696;236.415;238.379;238.544;237.708;236.406;234.758;232.815;230.624;228.240;225.711;223.078;222.108;219.951;217.779;215.642;213.600;211.699;209.976;208.449;207.133
12;253.890;257.749;261.702;262.701;261.688;261.161;263.712;270.522;281.606;296.548;300.631;305.275;297.574;289.584;285.357;280.395;275.263;269.912;265.084;261.430;256.322;253.275;249.373;243.790;240.006;237.112;238.565;244.977;253.965;261.239;263.013;261.795;257.625;254.186;255.654;259.928;254.526;241.212;233.941;233.752;236.471;238.435;238.602;237.764;236.464;234.817;232.873;230.684;228.301;225.773;223.139;222.170;220.015;217.842;215.706;213.664;211.764;210.040;208.515
13;252.492;253.820;257.688;261.649;262.659;261.661;261.145;263.704;270.518;281.607;296.555;300.652;305.326;297.643;289.706;285.507;280.592;275.449;270.098;265.387;261.789;256.434;253.444;249.584;244.138;240.851;238.540;240.339;246.696;254.675;261.425;263.086;261.845;257.671;254.231;255.698;259.970;254.571;241.259;233.990;233.801;236.521;238.486;238.652;237.816;236.516;234.869;232.927;230.738;228.355;225.828;223.196;222.226;220.071;217.899;215.765;213.722;211.823;210.101
14;253.367;252.412;253.750;257.626;261.598;262.622;261.635;261.130;263.694;270.514;281.608;296.570;300.698;305.389;297.763;289.859;285.710;280.783;275.641;270.414;265.763;261.889;256.591;253.642;249.918;244.967;242.256;240.288;242.033;247.390;254.852;261.490;263.127;261.879;257.705;254.266;255.733;260.007;254.608;241.300;234.032;233.845;236.564;238.529;238.697;237.861;236.562;234.915;232.973;230.786;228.404;225.878;223.246;222.278;220.123;217.952;215.818;213.776;211.878
15;255.845;253.270;252.326;253.673;257.561;261.547;262.584;261.608;261.109;263.680;270.508;281.616;296.612;300.759;305.504;297.915;290.067;285.905;280.980;275.973;270.812;265.844;262.027;256.772;253.955;250.717;246.398;243.947;241.926;242.698;247.550;254.901;261.516;263.147;261.898;257.726;254.290;255.757;260.031;254.634;241.330;234.064;233.877;236.598;238.562;238.730;237.896;236.597;234.952;233.011;230.825;228.443;225.918;223.288;222.320;220.166;217.996;215.862;213.822
16;257.318;255.728;253.165;252.233;253.594;257.495;261.494;262.541;261.574;261.082;263.664;270.509;281.657;296.668;300.876;305.656;298.126;290.267;286.106;281.325;276.391;270.884;265.977;262.205;257.091;254.794;252.414;248.178;245.672;242.620;242.859;247.595;254.919;261.527;263.157;261.908;257.739;254.303;255.772;260.045;254.651;241.351;234.090;233.903;236.623;238.588;238.757;237.924;236.626;234.982;233.043;230.858;228.478;225.953;223.324;222.357;220.205;218.035;215.903
17;256.609;257.179;255.601;253.052;252.135;253.514;257.427;261.436;262.490;261.533;261.055;263.656;270.552;281.716;296.789;301.036;305.878;298.334;290.478;286.480;281.776;276.486;271.057;266.208;262.617;258.168;257.159;254.634;250.331;246.540;242.825;242.920;247.624;254.938;261.543;263.171;261.925;257.759;254.326;255.795;260.069;254.677;241.383;234.124;233.939;236.659;238.625;238.795;237.962;236.666;235.024;233.085;230.901;228.523;226.001;223.373;222.407;220.255;218.087
18;252.485;256.448;257.031;255.467;252.937;252.039;253.433;257.357;261.372;262.436;261.493;261.038;263.710;270.628;281.866;296.979;301.297;306.115;298.574;290.907;287.000;281.939;276.757;271.408;266.816;264.164;261.610;260.287;257.667;251.565;246.845;242.929;242.982;247.674;254.983;261.586;263.215;261.970;257.807;254.377;255.847;260.121;254.733;241.445;234.190;234.006;236.727;238.693;238.864;238.033;236.738;235.097;233.161;230.978;228.601;226.080;223.454;222.490;220.339
19;247.284;252.306;256.280;256.878;255.333;252.825;251.944;253.352;257.283;261.306;262.384;261.465;261.118;263.819;270.830;282.118;297.310;301.601;306.416;299.104;291.551;287.259;282.348;277.274;272.278;268.982;268.831;265.921;264.466;259.382;252.008;247.014;243.041;243.080;247.768;255.074;261.673;263.304;262.061;257.901;254.475;255.947;260.219;254.836;241.554;234.304;234.121;236.842;238.809;238.981;238.151;236.858;235.218;233.284;231.103;228.728;226.209;223.585;222.621
20;242.942;247.091;252.124;256.109;256.726;255.204;252.716;251.851;253.269;257.209;261.245;262.350;261.576;261.268;264.082;271.157;282.545;297.697;301.984;307.066;299.890;291.900;287.794;283.020;278.387;275.013;274.775;274.276;271.200;266.643;259.958;252.241;247.175;243.187;243.223;247.906;255.210;261.808;263.440;262.199;258.044;254.621;256.094;260.366;254.987;241.712;234.466;234.285;237.006;238.973;239.146;238.318;237.026;235.389;233.456;231.277;228.904;226.387;223.765
21;241.576;242.737;246.898;251.944;255.946;256.585;255.085;252.615;251.762;253.191;257.144;261.206;262.488;261.760;261.584;264.476;271.668;283.014;298.156;302.749;307.978;300.316;292.548;288.601;284.344;281.620;281.720;281.153;280.458;273.756;267.329;260.244;252.443;247.360;243.368;243.401;248.084;255.386;261.984;263.616;262.379;258.227;254.807;256.281;260.554;255.177;241.911;234.669;234.490;237.211;239.178;239.353;238.526;237.236;235.601;233.670;231.494;229.122;226.607
22;242.731;241.363;242.540;246.713;251.776;255.798;256.460;254.975;252.521;251.681;253.126;257.106;261.361;262.690;262.107;262.017;265.039;272.190;283.528;298.994;303.747;308.482;301.073;293.491;290.137;288.073;289.022;289.028;288.238;283.395;274.555;267.667;260.485;252.664;247.577;243.587;243.621;248.302;255.603;262.200;263.833;262.598;258.450;255.033;256.509;260.781;255.409;242.149;234.912;234.735;237.455;239.424;239.600;238.775;237.487;235.853;233.924;231.749;229.380
23;245.764;242.508;241.159;242.353;246.544;251.628;255.668;256.346;254.877;252.438;251.616;253.091;257.271;261.573;263.052;262.558;262.608;265.590;272.736;284.414;300.038;304.345;309.359;302.161;295.257;294.396;296.002;297.291;297.043;291.567;284.308;274.947;267.952;260.747;252.921;247.837;243.847;243.884;248.565;255.864;262.460;264.094;262.861;258.717;255.304;256.779;261.052;255.684;242.432;235.200;235.024;237.746;239.714;239.891;239.067;237.782;236.149;234.222;232.049
24;248.014;245.531;242.298;240.968;242.185;246.396;251.498;255.552;256.243;254.789;252.371;251.584;253.262;257.490;261.943;263.512;263.162;263.173;266.152;273.651;285.495;300.731;305.350;310.591;304.151;300.047;302.707;305.237;306.242;300.768;292.596;284.754;275.273;268.251;261.041;253.220;248.138;244.154;244.191;248.871;256.168;262.762;264.398;263.168;259.027;255.619;257.094;261.366;256.003;242.759;235.531;235.356;238.078;240.047;240.225;239.403;238.119;236.489;234.563
25;248.555;247.771;245.311;242.100;240.796;242.037;246.267;251.382;255.447;256.151;254.718;252.336;251.757;253.487;257.869;262.412;264.126;263.737;263.748;267.090;274.761;286.269;301.836;306.702;312.757;309.354;308.582;312.624;314.850;310.246;301.876;293.081;285.109;275.600;268.572;261.365;253.549;248.472;244.491;244.529;249.208;256.504;263.097;264.734;263.506;259.369;255.964;257.442;261.713;256.353;243.117;235.894;235.721;238.442;240.411;240.591;239.771;238.488;236.860
26;247.634;248.305;247.544;245.105;241.922;240.646;241.909;246.154;251.276;255.352;256.075;254.680;252.511;251.986;253.874;258.346;263.033;264.706;264.318;264.697;268.218;275.587;287.447;303.263;308.987;318.226;317.922;318.839;322.566;318.988;311.388;302.374;293.445;285.442;275.931;268.905;261.702;253.893;248.821;244.842;244.882;249.562;256.856;263.447;265.084;263.860;259.727;256.324;257.803;262.073;256.719;243.489;236.272;236.100;238.821;240.791;240.971;240.153;238.872
27;245.869;247.383;248.075;247.333;244.920;241.765;240.515;241.795;246.049;251.181;255.274;256.032;254.847;252.734;252.369;254.350;258.963;263.608;265.279;265.260;265.820;269.055;276.782;288.897;305.574;314.529;326.578;328.093;328.698;326.663;320.110;311.869;302.721;293.763;285.757;276.249;269.229;262.032;254.230;249.164;245.188;245.231;249.909;257.202;263.792;265.430;264.209;260.080;256.681;258.160;262.431;257.079;243.858;236.645;236.474;239.196;241.166;241.348;240.531
28;243.199;245.617;247.149;247.860;247.142;244.756;241.627;240.395;241.688;245.952;251.099;255.222;256.187;255.054;253.098;252.825;254.949;259.521;264.161;266.193;266.350;266.635;270.226;278.208;291.175;311.034;322.509;336.396;337.610;332.641;327.727;320.555;312.184;303.010;294.048;286.047;276.546;269.533;262.343;254.548;249.487;245.516;245.561;250.238;257.528;264.116;265.757;264.537;260.412;257.017;258.497;262.767;257.421;244.207;236.998;236.830;239.551;241.522;241.705
29;239.397;242.943;245.379;246.928;247.659;246.966;244.605;241.496;240.280;241.584;245.863;251.040;255.354;256.368;255.387;253.522;253.388;255.474;260.041;265.024;267.225;267.118;267.748;271.587;280.392;296.428;318.544;331.831;345.423;341.333;333.629;328.125;320.832;312.435;303.260;294.304;286.308;276.816;269.810;262.627;254.839;249.783;245.817;245.864;250.541;257.829;264.415;266.057;264.840;260.719;257.327;258.808;263.078;257.736;244.530;237.327;237.159;239.882;241.853
30;234.427;239.135;242.696;245.147;246.715;247.470;246.799;244.458;241.365;240.163;241.485;245.793;251.150;255.508;256.665;255.770;254.038;253.870;255.953;260.848;265.990;267.935;268.156;269.024;273.649;285.379;303.474;327.330;340.337;348.912;342.239;333.979;328.362;321.045;312.645;303.477;294.529;286.540;277.057;270.058;262.883;255.102;250.051;246.089;246.138;250.815;258.101;264.685;266.327;265.114;260.997;257.608;259.091;263.360;258.023;244.825;237.627;237.461;240.182
31;228.784;234.159;238.883;242.455;244.925;246.512;247.287;246.634;244.307;241.231;240.049;241.402;245.881;251.278;255.770;257.007;256.239;254.476;254.308;256.706;261.750;266.623;268.870;269.314;270.915;278.253;291.894;311.558;335.147;343.528;349.712;342.527;334.165;328.526;321.209;312.815;303.654;294.716;286.736;277.262;270.269;263.101;255.328;250.283;246.326;246.377;251.052;258.337;264.920;266.563;265.351;261.239;257.855;259.338;263.606;258.273;245.084;237.892;237.726
32;223.321;228.513;233.901;238.633;242.221;244.708;246.316;247.104;246.464;244.154;241.100;239.951;241.469;245.989;251.512;256.076;257.433;256.634;254.873;255.008;257.550;262.303;267.450;269.898;271.012;275.098;284.222;299.209;318.632;338.009;344.220;349.930;342.654;334.275;328.636;321.325;312.941;303.787;294.860;286.888;277.424;270.439;263.278;255.512;250.472;246.521;246.574;251.248;258.530;265.112;266.756;265.547;261.439;258.059;259.543;263.810;258.482;245.302;238.115
33;218.868;223.042;228.246;233.644;238.388;241.993;244.496;246.116;246.916;246.290;243.999;240.979;239.991;241.549;246.188;251.780;256.453;257.779;256.981;255.508;255.782;258.014;263.015;268.340;271.393;274.751;280.540;290.770;305.541;321.178;338.592;344.376;349.995;342.706;334.331;328.696;321.394;313.021;303.878;294.960;286.997;277.543;270.567;263.414;255.656;250.621;246.674;246.730;251.404;258.683;265.262;266.908;265.702;261.599;258.222;259.707;263.974;258.650;245.480
34;214.887;218.577;222.764;227.976;233.386;238.144;241.762;244.278;245.907;246.719;246.111;243.852;240.980;240.033;241.705;246.407;252.098;256.739;258.064;257.533;256.191;256.174;258.634;263.797;269.671;274.774;279.757;286.519;296.554;307.851;321.688;338.702;344.402;349.997;342.713;334.346;328.720;321.428;313.065;303.934;295.027;287.072;277.629;270.660;263.515;255.765;250.737;246.795;246.853;251.526;258.803;265.380;267.026;265.824;261.725;258.353;259.839;264.105;258.786
35;210.779;214.580;218.283;222.480;227.702;233.125;237.894;241.524;244.048;245.689;246.516;245.936;243.810;240.979;240.138;241.871;246.664;252.323;256.962;258.527;258.113;256.514;256.709;259.321;264.985;272.731;279.412;285.233;291.819;298.657;308.298;321.766;338.691;344.372;349.959;342.685;334.329;328.711;321.430;313.077;303.958;295.060;287.117;277.683;270.722;263.585;255.844;250.823;246.885;246.945;251.618;258.892;265.467;267.115;265.915;261.821;258.453;259.940;264.206
36;205.809;210.454;214.268;217.982;222.191;227.426;232.860;237.638;241.275;243.809;245.465;246.319;245.855;243.765;241.034;240.252;242.071;246.837;252.492;257.346;259.016;258.370;256.967;257.304;260.378;267.757;276.993;284.426;290.084;293.724;299.039;308.343;321.731;338.629;344.303;349.889;342.623;334.280;328.672;321.402;313.061;303.952;295.066;287.132;277.709;270.758;263.629;255.896;250.881;246.950;247.012;251.683;258.954;265.527;267.177;265.980;261.891;258.527;260.014
37;200.373;205.468;210.124;213.948;217.676;221.901;227.146;232.588;237.373;241.019;243.565;245.247;246.206;245.774;243.778;241.103;240.405;242.203;246.965;252.817;257.766;259.204;258.734;257.461;258.218;262.845;271.630;281.500;288.785;291.770;294.031;299.044;308.280;321.642;338.522;344.195;349.781;342.528;334.198;328.599;321.339;313.010;303.913;295.039;287.115;277.704;270.761;263.641;255.918;250.909;246.983;247.048;251.718;258.986;265.557;267.207;266.013;261.930;258.570
38;194.740;200.016;205.123;209.786;213.623;217.367;221.605;226.858;232.303;237.096;240.754;243.323;245.103;246.091;245.746;243.802;241.209;240.493;242.290;247.240;253.178;257.885;259.479;259.126;258.232;260.385;266.296;275.673;285.404;290.265;292.001;293.993;298.946;308.161;321.511;338.377;344.047;349.634;342.393;334.077;328.488;321.240;312.923;303.839;294.977;287.063;277.663;270.730;263.620;255.906;250.904;246.984;247.051;251.721;258.985;265.553;267.204;266.014;261.936
39;188.985;194.367;199.652;204.764;209.441;213.293;217.048;221.296;226.554;232.005;236.806;240.486;243.146;244.951;246.018;245.720;243.853;241.246;240.534;242.508;247.539;253.232;258.072;259.769;259.752;260.104;263.453;269.896;279.148;286.689;290.420;291.913;293.855;298.794;308.001;321.339;338.190;343.861;349.448;342.221;333.917;328.340;321.104;312.801;303.729;294.879;286.977;277.590;270.666;263.566;255.862;250.867;246.953;247.024;251.691;258.953;265.517;267.170;265.984
40;182.003;188.593;193.983;199.276;204.399;209.089;212.954;216.721;220.975;226.239;231.698;236.519;240.270;242.953;244.829;245.939;245.710;243.832;241.232;240.686;242.741;247.534;253.346;258.272;260.269;261.365;262.842;266.646;272.979;280.255;286.773;290.283;291.732;293.666;298.599;307.801;321.128;337.966;343.636;349.223;342.009;333.721;328.155;320.931;312.642;303.584;294.748;286.857;277.483;270.570;263.479;255.786;250.800;246.892;246.965;251.630;258.888;265.451;267.105
41;174.138;181.597;188.192;193.590;198.892;204.025;208.727;212.602;216.376;220.641;225.912;231.388;236.270;240.039;242.788;244.701;245.874;245.633;243.760;241.319;240.851;242.679;247.579;253.466;258.655;261.644;263.813;265.651;269.359;273.917;280.273;286.589;290.059;291.502;293.435;298.365;307.562;320.879;337.703;343.373;348.959;341.760;333.487;327.933;320.723;312.447;303.405;294.582;286.705;277.344;270.442;263.362;255.680;250.700;246.800;246.876;251.541;258.794;265.353
42;160.624;173.719;181.180;187.779;193.184;198.499;203.641;208.350;212.234;216.015;220.289;225.579;231.107;236.003;239.831;242.615;244.586;245.745;245.508;243.784;241.420;240.733;242.661;247.630;253.753;259.837;263.829;266.316;268.069;270.158;273.881;280.051;286.327;289.786;291.232;293.166;298.097;307.288;320.593;337.402;343.072;348.658;341.475;333.218;327.676;320.481;312.219;303.193;294.385;286.520;277.174;270.284;263.216;255.545;250.574;246.681;246.760;251.423;258.672
43;151.791;160.202;173.285;180.745;187.349;192.763;198.086;203.235;207.950;211.841;215.634;219.927;225.261;230.800;235.751;239.609;242.445;244.402;245.562;245.464;243.812;241.240;240.651;242.646;247.830;254.762;261.769;266.095;268.502;268.754;270.069;273.623;279.753;286.017;289.476;290.924;292.864;297.794;306.979;320.272;337.065;342.734;348.319;341.152;332.912;327.384;320.203;311.959;302.948;294.155;286.306;276.976;270.097;263.040;255.382;250.421;246.535;246.617;251.278
44;148.420;151.351;159.759;172.825;180.286;186.893;192.316;197.643;202.797;207.517;211.418;215.229;219.560;224.907;230.494;235.472;239.376;242.198;244.157;245.444;245.410;243.569;241.093;240.571;242.769;248.699;256.485;263.851;268.098;269.088;268.613;269.775;273.294;279.413;285.669;289.132;290.583;292.526;297.457;306.633;319.915;336.690;342.359;347.943;340.793;332.573;327.058;319.893;311.665;302.672;293.896;286.061;276.747;269.880;262.837;255.192;250.240;246.363;246.448
45;142.950;147.948;150.892;159.291;172.340;179.803;186.413;191.839;197.170;202.325;207.055;210.973;214.813;219.158;224.547;230.157;235.175;239.066;241.888;243.961;245.306;245.102;243.350;240.942;240.614;243.502;250.232;258.393;265.681;268.587;268.891;268.274;269.410;272.921;279.035;285.287;288.751;290.208;292.156;297.085;306.256;319.523;336.280;341.947;347.531;340.400;332.197;326.698;319.550;311.339;302.364;293.605;285.787;276.490;269.638;262.607;254.976;250.035;246.166
46;136.538;142.459;147.463;150.415;158.807;171.839;179.299;185.906;191.334;196.667;201.828;206.570;210.511;214.365;218.751;224.160;229.804;234.806;238.696;241.619;243.746;244.939;244.815;243.126;240.900;241.212;244.879;251.956;260.041;266.068;268.332;268.503;267.867;268.998;272.509;278.621;284.867;288.333;289.795;291.748;296.676;305.839;319.091;335.829;341.495;347.078;339.965;331.784;326.300;319.170;310.977;302.021;293.282;285.480;276.201;269.364;262.347;254.731;249.801
47;130.763;136.037;141.959;146.962;149.925;158.309;171.318;178.773;185.377;190.805;196.141;201.313;206.071;210.023;213.914;218.320;223.762;229.389;234.385;238.367;241.337;243.317;244.580;244.512;242.987;241.348;242.416;246.408;253.413;260.328;265.752;267.889;268.042;267.408;268.544;272.057;278.165;284.408;287.876;289.344;291.301;296.228;305.382;318.620;335.335;341.000;346.582;339.490;331.330;325.862;318.750;310.579;301.643;292.923;285.138;275.879;269.057;262.056;254.455
48;125.531;130.244;135.520;141.438;146.443;149.414;157.790;170.773;178.218;184.817;190.247;195.593;200.772;205.537;209.526;213.436;217.872;223.299;228.918;233.995;238.020;240.843;242.884;244.194;244.273;243.274;242.392;243.707;247.642;253.588;259.951;265.255;267.371;267.527;266.903;268.044;271.558;277.663;283.902;287.372;288.846;290.807;295.734;304.878;318.099;334.792;340.456;346.036;338.965;330.828;325.378;318.286;310.135;301.221;292.522;284.756;275.518;268.712;261.728
49;121.389;124.986;129.702;134.974;140.887;145.895;148.874;157.235;170.189;177.625;184.220;189.659;195.005;200.189;204.984;208.989;212.930;217.353;222.772;228.465;233.576;237.460;240.337;242.420;243.860;244.410;244.138;243.465;244.736;247.710;253.153;259.403;264.681;266.797;266.961;266.346;267.496;271.011;277.112;283.346;286.817;288.298;290.265;295.190;304.324;317.527;334.196;339.857;345.435;338.388;330.275;324.844;317.773;309.644;300.755;292.078;284.331;275.116;268.327
50;117.587;120.809;124.412;129.125;134.394;140.303;145.312;148.298;156.643;169.564;176.992;183.589;189.022;194.370;199.577;204.385;208.417;212.347;216.766;222.251;227.971;232.953;236.882;239.797;241.997;243.864;245.123;244.997;244.292;244.691;247.213;252.554;258.777;264.047;266.167;266.342;265.740;266.896;270.414;276.510;282.739;286.212;287.699;289.672;294.594;303.718;316.901;333.543;339.202;344.779;337.756;329.670;324.257;317.209;309.105;300.240;291.586;283.862;274.670
51;114.187;116.974;120.202;123.807;128.520;133.786;139.689;144.695;147.685;156.013;168.903;176.328;182.909;188.341;193.709;198.925;203.752;207.772;211.699;216.181;221.689;227.292;232.310;236.270;239.291;241.884;244.439;245.818;245.661;244.147;244.130;246.565;251.884;258.095;263.359;265.485;265.671;265.083;266.245;269.764;275.854;282.078;285.554;287.048;289.025;293.946;303.058;316.220;332.833;338.490;344.065;337.068;329.009;323.617;316.593;308.515;299.677;291.049;283.346
52;110.708;113.540;116.337;119.568;123.176;127.887;133.148;139.043;144.043;147.039;155.349;168.210;175.613;182.185;187.632;193.007;198.237;203.051;207.067;211.052;215.558;220.957;226.590;231.631;235.684;239.060;242.342;244.961;246.310;245.405;243.513;243.425;245.847;251.156;257.358;262.620;264.752;264.950;264.375;265.545;269.066;275.151;281.369;284.846;286.346;288.330;293.249;302.348;315.487;332.070;337.724;343.296;336.326;328.296;322.927;315.929;307.878;299.067;290.467
53;107.212;110.025;112.867;115.668;118.902;122.512;127.218;132.471;138.354;143.347;146.349;154.644;167.455;174.844;181.425;186.876;192.262;197.478;202.286;206.355;210.365;214.772;220.199;225.850;230.974;235.346;239.403;242.707;245.294;245.947;244.695;242.746;242.654;245.078;250.381;256.576;261.834;263.973;264.181;263.620;264.799;268.322;274.400;280.611;284.090;285.597;287.586;292.503;301.588;314.703;331.254;336.904;342.473;335.533;327.533;322.188;315.216;307.193;298.412
54;103.539;106.488;109.309;112.152;114.956;118.192;121.803;126.501;131.740;137.610;142.593;145.604;153.866;166.635;174.024;180.603;186.065;191.437;196.646;201.499;205.593;209.516;213.954;219.399;225.120;230.525;235.567;239.593;242.868;244.820;245.158;243.853;241.912;241.830;244.258;249.556;255.743;260.997;263.142;263.363;262.817;264.005;267.528;273.599;279.804;283.285;284.800;286.794;291.707;300.778;313.868;330.383;336.030;341.596;334.686;326.718;321.398;314.454;306.462
55;99.686;102.773;105.725;108.545;111.389;114.195;117.432;121.037;125.721;130.946;136.798;141.776;144.781;153.020;165.758;173.137;179.718;185.167;190.531;195.779;200.652;204.668;208.623;213.082;218.590;224.559;230.625;235.593;239.587;242.282;243.945;244.232;242.935;241.013;240.948;243.379;248.671;254.851;260.099;262.252;262.486;261.955;263.152;266.676;272.740;278.938;282.419;283.941;285.942;290.851;299.906;312.968;329.447;335.089;340.651;333.773;325.840;320.545;313.632
56;96.461;98.880;101.965;104.914;107.730;110.574;113.379;116.610;120.206;124.874;130.082;135.915;140.882;143.895;152.120;164.813;172.187;178.747;184.188;189.587;194.850;199.648;203.693;207.669;212.188;217.912;224.538;230.479;235.415;238.883;241.315;242.928;243.220;241.943;240.044;239.995;242.432;247.718;253.889;259.132;261.290;261.539;261.024;262.231;265.755;271.811;278.000;281.482;283.013;285.019;289.925;298.962;311.995;328.433;334.071;339.629;332.784;324.888;319.621
